the - used before a noun to refer to something specific | past: X | future: X | syn: this
time - the ongoing sequence of events | past: timed | future: will time | syn: moment
up - toward a higher position or level | past: X | future: X | syn: above
go - to move from one place to another | past: went | future: will go | syn: travel
about - concerning or on the subject of | past: X | future: X | syn: regarding
than - used to introduce the second element in a comparison | past: X | future: X | syn: compared to
into - expressing movement toward the inside of something | past: X | future: X | syn: inside
could - past tense of can; expressing past ability or possibility | past: X | future: X | syn: was able to
state - to express something clearly in words | past: stated | future: will state | syn: declare
only - and no one or nothing more; solely | past: X | future: X | syn: solely
new - recently made, discovered, or created | past: X | future: X | syn: fresh
year - a period of twelve months | past: X | future: X | syn: annum
some - an unspecified amount or number of | past: X | future: X | syn: certain
take - to reach for and hold something | past: took | future: will take | syn: grab
go - to move from one place to another | past: went | future: will go | syn: travel
come - to move toward a place or person | past: came | future: will come | syn: arrive
these - referring to specific things nearby or just mentioned | past: X | future: X | syn: those
know - to have information or be aware of something | past: knew | future: will know | syn: understand
see - to perceive with the eyes | past: saw | future: will see | syn: observe
use - to employ something for a purpose | past: used | future: will use | syn: employ
get - to obtain or receive something | past: got | future: will get | syn: obtain
like - to find something pleasant or to similar to | past: liked | future: will like | syn: enjoy
then - at that time; after that | past: X | future: X | syn: afterward
first - coming before all others in order or time | past: X | future: X | syn: initial
any - used to refer to one or some of a thing, no matter how much or how many | past: X | future: X | syn: some
work - activity involving effort done to achieve a purpose | past: worked | future: will work | syn: labor
now - at the present time | past: X | future: X | syn: currently
may - used to express possibility or permission | past: might | future: X | syn: might
such - of the type previously mentioned | past: X | future: X | syn: that
give - to freely transfer the possession of something to someone | past: gave | future: will give | syn: provide
over - extending directly upward from or above | past: X | future: X | syn: above
think - to have a particular opinion, belief, or idea | past: thought | future: will think | syn: believe
most - greatest in amount or degree | past: X | future: X | syn: greatest
even - used for emphasis or to indicate something surprising | past: X | future: X | syn: indeed
find - to discover or locate something | past: found | future: will find | syn: discover
day - a period of twenty-four hours | past: X | future: X | syn: date
also - in addition; too | past: X | future: X | syn: additionally
after - following in time or order | past: X | future: X | syn: following
way - a method or manner of doing something | past: X | future: X | syn: method
many - a large number of | past: X | future: X | syn: numerous
must - used to express obligation or necessity | past: had to | future: will have to | syn: need to
look - to direct one's gaze toward something | past: looked | future: will look | syn: glance
before - earlier in time or in front of | past: X | future: X | syn: prior to
great - of an extent or amount considerably above average | past: X | future: X | syn: excellent
back - in the direction behind or to the rear | past: X | future: X | syn: rear
through - moving in one side and out the other | past: X | future: X | syn: across
long - measuring a great distance from end to end | past: X | future: X | syn: lengthy
where - in or to what place | past: X | future: X | syn: wherever
much - a large amount of | past: X | future: X | syn: plenty
should - used to indicate obligation or expectation | past: X | future: X | syn: ought to
well - in a good or satisfactory manner | past: X | future: X | syn: properly
people - human beings in general | past: X | future: X | syn: persons
down - toward a lower position | past: X | future: X | syn: below
own - belonging to oneself | past: X | future: X | syn: personal
just - exactly or very recently; by a small amount | past: X | future: X | syn: simply
because - for the reason that | past: X | future: X | syn: since
good - of high quality or satisfactory standard | past: X | future: X | syn: fine
each - every one of two or more people or things | past: X | future: X | syn: every
those - referring to people or things at a distance | past: X | future: X | syn: these
feel - to be aware of a sensation or emotion | past: felt | future: will feel | syn: sense
seem - to give the impression of being something | past: seemed | future: will seem | syn: appear
how - in what way or manner | past: X | future: X | syn: in what way
high - at a great distance above the ground | past: X | future: X | syn: tall
too - in addition; also; to a higher degree than desirable | past: X | future: X | syn: also
place - a particular position or area | past: X | future: X | syn: location
little - small in size, amount, or degree | past: X | future: X | syn: small
world - the earth and all its people and things | past: X | future: X | syn: earth
very - used for emphasis; to a high degree | past: X | future: X | syn: extremely
still - up to and including the present time; without movement | past: X | future: X | syn: yet
nation - a large group of people sharing the same culture and government | past: X | future: X | syn: country
hand - the end part of a person's arm beyond the wrist | past: X | future: X | syn: palm
old - having lived or existed for a long time | past: X | future: X | syn: aged
life - the existence of a living being | past: X | future: X | syn: existence
tell - to communicate information to someone | past: told | future: will tell | syn: inform
write - to mark letters or words on a surface | past: wrote | future: will write | syn: compose
become - to begin to be or grow into | past: became | future: will become | syn: turn into
here - in, at, or to this place | past: X | future: X | syn: in this place
show - to make something visible or known | past: showed | future: will show | syn: display
house - a building in which people live | past: X | future: X | syn: home
both - the two; referring to two things together | past: X | future: X | syn: each
between - in the space separating two things | past: X | future: X | syn: amid
need - to require something as necessary | past: needed | future: will need | syn: require
mean - to intend to convey or express | past: meant | future: will mean | syn: signify
call - to say something loudly; to contact by phone | past: called | future: will call | syn: contact
develop - to grow or cause to grow more advanced | past: developed | future: will develop | syn: advance
under - below or beneath something | past: X | future: X | syn: beneath
last - coming after all others; to continue in time | past: lasted | future: will last | syn: final
right - morally correct; on the side opposite the left | past: X | future: X | syn: correct
move - to change position or cause to change position | past: moved | future: will move | syn: shift
thing - an object or matter that is not specified | past: X | future: X | syn: object
general - affecting or involving all or most | past: X | future: X | syn: overall
school - an institution where students are educated | past: X | future: X | syn: institution
never - not at any time | past: X | future: X | syn: not ever
same - identical; not different | past: X | future: X | syn: identical
another - referring to an additional person or thing of the same type | past: X | future: X | syn: additional
begin - to start or initiate something | past: began | future: will begin | syn: start
while - during the time that; at the same time as | past: X | future: X | syn: whereas
number - a mathematical value used for counting or measuring | past: numbered | future: will number | syn: figure
part - a piece or section of a whole | past: parted | future: will part | syn: portion
turn - to move in a circular direction or change direction | past: turned | future: will turn | syn: rotate
real - actually existing; genuine and not imaginary | past: X | future: X | syn: genuine
leave - to go away from a place or person | past: left | future: will leave | syn: depart
might - expressing possibility; great power or strength | past: X | future: X | syn: may
want - to feel a desire or wish for something | past: wanted | future: will want | syn: desire
point - a specific location or position; to direct attention toward something | past: pointed | future: will point | syn: spot
form - the shape or structure of something; to create or shape | past: formed | future: will form | syn: shape
off - away from a place or position | past: X | future: X | syn: away
child - a young human being; a son or daughter | past: X | future: X | syn: kid
few - a small number of; not many | past: X | future: X | syn: several
small - of limited size; not large | past: X | future: X | syn: little
since - from a particular time in the past until now | past: X | future: X | syn: because
against - in opposition to; in contact with | past: X | future: X | syn: versus
ask - to request information or pose a question | past: asked | future: will ask | syn: inquire
late - after the expected or usual time; near the end | past: X | future: X | syn: delayed
home - the place where one lives; a residence | past: X | future: X | syn: residence
interest - a feeling of curiosity or concern; to attract attention | past: interested | future: will interest | syn: curiosity
large - of considerable size; big | past: X | future: X | syn: big
person - a human being | past: X | future: X | syn: individual
end - the final part of something; to bring to a conclusion | past: ended | future: will end | syn: finish
open - not closed; to move so as to allow access | past: opened | future: will open | syn: unlock
public - relating to people in general; open to all | past: X | future: X | syn: common
follow - to go or come after; to act according to | past: followed | future: will follow | syn: pursue
during - throughout the duration of; at some point in | past: X | future: X | syn: throughout
present - existing or occurring now; to give or show formally | past: presented | future: will present | syn: current
without - not having; in the absence of | past: X | future: X | syn: lacking
again - once more; another time | past: X | future: X | syn: once more
hold - to keep in one's hands; to contain | past: held | future: will hold | syn: grasp
govern - to control and direct the affairs of a country or organization | past: governed | future: will govern | syn: rule
around - on all sides of; approximately | past: X | future: X | syn: about
possible - able to happen or be done | past: X | future: X | syn: feasible
head - the upper part of the body; to be in charge of | past: headed | future: will head | syn: lead
consider - to think carefully about; to take into account | past: considered | future: will consider | syn: contemplate
word - a single unit of language; a term | past: X | future: X | syn: term
program - a set of instructions or a plan of activities | past: programmed | future: will program | syn: plan
problem - a matter or situation that is difficult to deal with | past: X | future: X | syn: issue
however - used to introduce a contrast or exception | past: X | future: X | syn: nevertheless
lead - to guide or direct; to be in first place | past: led | future: will lead | syn: guide
system - a set of connected things forming a complex whole | past: X | future: X | syn: network
set - to put in a specific place; a group of things | past: set | future: will set | syn: place
order - a request or command; to give an instruction | past: ordered | future: will order | syn: command
eye - the organ of sight; to look at closely | past: eyed | future: will eye | syn: watch
plan - a detailed proposal for doing something; to intend | past: planned | future: will plan | syn: scheme
run - to move faster than walking; to manage or operate | past: ran | future: will run | syn: sprint
keep - to have or retain possession of; to continue | past: kept | future: will keep | syn: retain
face - the front part of the head; to look toward or deal with | past: faced | future: will face | syn: confront
fact - a thing that is known to be true | past: X | future: X | syn: truth
group - a number of people or things together; to arrange in a set | past: grouped | future: will group | syn: cluster
play - to engage in activity for enjoyment; to perform | past: played | future: will play | syn: perform
stand - to be in an upright position; to tolerate | past: stood | future: will stand | syn: rise
increase - to become or make greater in size or amount | past: increased | future: will increase | syn: grow
early - before the usual or expected time; near the beginning | past: X | future: X | syn: soon
course - a route taken; a series of lessons | past: X | future: X | syn: path
change - to make or become different; an alteration | past: changed | future: will change | syn: alter
help - to make it easier for someone to do something | past: helped | future: will help | syn: assist
line - a long thin mark; a row of people or things | past: lined | future: will line | syn: row
city - a large town; an urban area | past: X | future: X | syn: metropolis
put - to move something to a particular place | past: put | future: will put | syn: place
close - near in distance; to cover an opening | past: closed | future: will close | syn: shut
case - a particular situation or instance | past: X | future: X | syn: instance
force - strength or power; to make someone do something | past: forced | future: will force | syn: compel
meet - to come into contact with; to encounter | past: met | future: will meet | syn: encounter
once - one time only; at a particular time in the past | past: X | future: X | syn: formerly
water - a clear liquid essential for life; to pour water on plants | past: watered | future: will water | syn: liquid
upon - on; immediately after | past: X | future: X | syn: on
war - armed conflict between countries or groups | past: X | future: X | syn: conflict
build - to construct or create something | past: built | future: will build | syn: construct
hear - to perceive sound with the ears | past: heard | future: will hear | syn: listen
light - the natural agent that makes things visible; to ignite | past: lit | future: will light | syn: illuminate
unite - to come or bring together for a common purpose | past: united | future: will unite | syn: join
live - to remain alive; to have one's home in a place | past: lived | future: will live | syn: exist
every - used to refer to all individual members of a group | past: X | future: X | syn: each
country - a nation with its own government | past: X | future: X | syn: nation
bring - to carry or take something to a place | past: brought | future: will bring | syn: carry
center - the point equally distant from all edges; to place in the middle | past: centered | future: will center | syn: middle
let - to allow or permit something | past: let | future: will let | syn: allow
side - a position to the left or right; an edge or surface | past: sided | future: will side | syn: edge
try - to make an attempt to do something | past: tried | future: will try | syn: attempt
provide - to make available; to supply | past: provided | future: will provide | syn: supply
continue - to go on doing something; to carry on | past: continued | future: will continue | syn: persist
name - a word by which someone is known; to give a name to | past: named | future: will name | syn: title
certain - known for sure; particular but not named | past: X | future: X | syn: sure
power - the ability to do something; energy | past: powered | future: will power | syn: strength
pay - to give money in exchange for goods or services | past: paid | future: will pay | syn: compensate
result - a consequence or outcome; to happen as a consequence | past: resulted | future: will result | syn: outcome
question - a sentence worded to obtain information; to ask or doubt | past: questioned | future: will question | syn: inquiry
study - the devotion of time to learning; to learn about a subject | past: studied | future: will study | syn: learn
woman - an adult human female | past: X | future: X | syn: female
member - a person belonging to a group or organization | past: X | future: X | syn: participant
until - up to the point in time when; before | past: X | future: X | syn: till
far - at a great distance; remote | past: X | future: X | syn: distant
night - the period of darkness between sunset and sunrise | past: X | future: X | syn: evening
always - at all times; on all occasions | past: X | future: X | syn: forever
service - the action of helping others; to maintain or repair | past: serviced | future: will service | syn: assist
away - at a distance from a place; in another direction | past: X | future: X | syn: elsewhere
report - an account of something; to give information about | past: reported | future: will report | syn: account
something - an unspecified or unknown thing | past: X | future: X | syn: anything
company - a business organization; the fact of being with others | past: X | future: X | syn: firm
week - a period of seven days | past: X | future: X | syn: seven days
church - a building used for worship; a Christian organization | past: X | future: X | syn: chapel
toward - in the direction of; closer to | past: X | future: X | syn: towards
start - to begin or cause to begin | past: started | future: will start | syn: begin
social - relating to society; needing companionship | past: X | future: X | syn: communal
room - a space within a building; enough space for something | past: X | future: X | syn: space
figure - a number or shape; to calculate or think | past: figured | future: will figure | syn: calculate
nature - the physical world; the basic qualities of something | past: X | future: X | syn: environment
though - despite the fact that; however | past: X | future: X | syn: although
young - having lived or existed for only a short time | past: X | future: X | syn: youthful
less - a smaller amount of; to a smaller extent | past: X | future: X | syn: fewer
enough - as much as required; adequate | past: X | future: X | syn: sufficient
almost - not quite; very nearly | past: X | future: X | syn: nearly
read - to look at and understand written words | past: read | future: will read | syn: peruse
include - to contain as part of a whole; to make part of | past: included | future: will include | syn: contain
president - the head of a country or organization | past: X | future: X | syn: leader
nothing - not anything; no single thing | past: X | future: X | syn: zero
yet - up until now; still; nevertheless | past: X | future: X | syn: still
better - of a higher quality; to improve | past: bettered | future: will better | syn: improve
big - of considerable size; large | past: X | future: X | syn: large
boy - a male child | past: X | future: X | syn: lad
cost - the amount paid for something; to require payment | past: cost | future: will cost | syn: price
business - a commercial activity; the practice of making a living | past: X | future: X | syn: commerce
value - the importance or worth of something; to consider important | past: valued | future: will value | syn: worth
second - coming after the first; a unit of time; to support | past: seconded | future: will second | syn: moment
why - for what reason or purpose | past: X | future: X | syn: reason
clear - easy to perceive; free of obstruction; to remove | past: cleared | future: will clear | syn: obvious
expect - to regard as likely to happen; to anticipate | past: expected | future: will expect | syn: anticipate
family - a group of people related by blood or marriage | past: X | future: X | syn: household
complete - having all parts; to finish or make whole | past: completed | future: will complete | syn: finish
act - a thing done; to take action or perform | past: acted | future: will act | syn: perform
sense - a faculty of perception; to detect or feel | past: sensed | future: will sense | syn: feeling
mind - the faculty of consciousness and thought; to object to | past: minded | future: will mind | syn: intellect
experience - practical contact with something; to encounter or undergo | past: experienced | future: will experience | syn: encounter
art - creative expression; the product of human creativity | past: X | future: X | syn: craft
next - coming immediately after the present one | past: X | future: X | syn: following
near - at a short distance; close; to approach | past: neared | future: will near | syn: close
direct - going in a straight line; to guide or manage | past: directed | future: will direct | syn: guide
car - a motor vehicle with four wheels | past: X | future: X | syn: vehicle
law - a rule made by a government; a system of rules | past: X | future: X | syn: rule
industry - economic activity concerned with producing goods | past: X | future: X | syn: trade
important - of great significance or value | past: X | future: X | syn: significant
girl - a female child or young woman | past: X | future: X | syn: lass
god - a superhuman being worshipped as having power over nature | past: X | future: X | syn: deity
several - more than two but not very many | past: X | future: X | syn: various
matter - physical substance; a subject; to be important | past: mattered | future: will matter | syn: substance
usual - habitually done; occurring regularly | past: X | future: X | syn: normal
rather
per
often
kind
among
white
reason
action
return
foot
care
simple
within
love
human
along
appear
doctor
believe
speak
active
student
month
drive
concern
best
door
hope
example
inform
body
ever
least
probable
understand
reach
effect
different
idea
whole
control
condition
field
pass
fall
note
special
talk
particular
today
measure
walk
teach
low
hour
type
carry
rate
remain
full
street
easy
although
record
sit
determine
level
local
sure
receive
thus
moment
spirit
train
college
religion
perhaps
music
grow
free
cause
serve
age
book
board
recent
sound
office
cut
step
class
VERDADERO
history
position
above
strong
friend
necessary
add
court
deal
tax
support
party
whether
either
land
material
happen
education
death
agree
arm
mother
across
quite
anything
town
past
view
society
manage
answer
break
organize
half
fire
lose
money
stop
actual
already
effort
wait
department
able
political
learn
voice
air
together
shall
cover
common
subject
draw
short
wife
treat
limit
road
letter
color
behind
produce
send
term
total
university
rise
century
success
minute
remember
purpose
test
fight
watch
situation
south
ago
difference
stage
father
table
rest
bear
entire
market
prepare
explain
offer
plant
charge
ground
west
picture
hard
front
lie
modern
dark
surface
rule
regard
dance
peace
observe
future
wall
farm
claim
firm
operation
further
pressure
property
morning
amount
top
outside
piece
sometimes
beauty
trade
fear
demand
wonder
list
accept
judge
paint
mile
soon
responsible
allow
secretary
heart
union
slow
island
enter
drink
story
experiment
stay
paper
space
apply
decide
share
desire
spend
sign
therefore
various
visit
supply
officer
doubt
private
immediate
wish
contain
feed
raise
describe
ready
horse
son
exist
north
suggest
station
effective
food
deep
wide
alone
character
english
happy
critic
unit
product
respect
drop
nor
fill
cold
represent
sudden
basic
kill
fine
trouble
mark
single
press
heavy
attempt
origin
standard
everything
committee
moral
black
red
bad
earth
accord
else
mere
die
remark
basis
except
equal
east
event
employ
defense
smile
river
improve
game
detail
account
cent
sort
reduce
club
buy
attention
ship
decision
wear
inside
win
suppose
ride
operate
realize
sale
choose
park
square
vote
price
district
dead
foreign
window
beyond
direction
strike
instead
trial
practice
catch
opportunity
likely
recognize
permit
serious
attack
floor
association
spring
lot
stock
lack
hair
science
relation
profession
pattern
quick
medical
influence
occasion
machine
compare
husband
blue
international
fair
especially
indeed
imagine
surprise
average
official
temperature
difficult
sing
hit
tree
race
police
touch
relative
throw
quality
former
pull
chance
prove
argue
settle
growth
date
heat
save
performance
count
production
listen
main
pick
size
cool
army
patient
combine
summer
hall
slight
command
enjoy
length
proper
express
health
chief
evening
store
language
degree
lay
current
gun
dog
hotel
strange
separate
boat
fail
clean
dress
anyone
gain
pain
object
knowledge
depend
relate
below
dollar
advance
shape
arrange
population
yes
sell
mention
dry
check
poet
sleep
join
hot
bed
electric
dream
due
season
manner
fit
left
progress
neither
strength
notice
finish
opinion
bill
western
truth
wrong
travel
suit
bank
exact
honor
brother
quiet
marry
corner
handle
danger
hospital
pool
promise
blood
shoot
scene
literature
arrive
film
base
freedom
bar
maybe
hang
suffer
manufacture
frequent
rock
loss
burn
sun
audience
essential
glass
prevent
poem
poor
inch
song
skill
post
popular
radio
animal
conscious
worth
eat
election
faith
wave
murder
model
forget
extend
edge
distance
memory
recommend
division
staff
leg
discussion
address
fly
dependent
ball
shake
frame
extreme
engineer
thick
comfort
latter
camp
oil
discover
examine
difficulty
tooth
middle
choice
refer
enemy
practical
marriage
bridge
declare
lady
cross
daily
afternoon
attend
director
balance
wash
capital
speed
block
citizen
mouth
hill
green
please
motor
agency
encourage
governor
worry
affair
shoulder
bright
mass
sample
pretty
repeat
roll
push
trip
council
clothe
parent
forward
sharp
straight
gas
weight
discuss
fix
load
master
whatever
round
rapid
laugh
finger
spot
propose
shop
broad
replace
reply
extent
lock
employee
ahead
sight
spread
wind
approve
destroy
none
pound
fame
importance
reflect
advantage
match
regular
wage
refuse
existence
hardly
perform
title
tend
exercise
thin
coat
bit
mountain
youth
behavior
newspaper
secret
ability
sea
soft
justice
reasonable
circle
solid
page
weapon
fast
representative
search
pure
escape
crowd
stick
telephone
avoid
garden
favor
news
unless
dinner
someone
signal
yard
ideal
warm
miss
shelter
soldier
article
cry
captain
familiar
seat
guest
weak
excite
king
everyone
wine
hole
duty
beat
perfect
bottom
compose
battle
expense
cattle
flow
kitchen
dust
bottle
admit
tear
tire
expression
exception
application
belong
rich
failure
struggle
instrument
variety
narrow
theater
collection
rain
review
preserve
leadership
clay
daughter
fellow
swing
thank
library
fat
reserve
tour
nice
warn
ring
bitter
chair
yesterday
scientific
flower
wheel
solution
aim
gather
invite
moreover
fresh
forest
winter
box
belief
ordinary
impossible
print
gray
taste
lip
speech
reference
stain
connection
otherwise
stretch
knife
village
blow
mistake
sweet
shout
divide
guard
worse
exchange
rare
commercial
request
appoint
agent
dependence
bird
wild
motion
guess
neighbor
seed
fashion
loan
correct
plain
mail
retire
opposite
prefer
safe
evil
double
wood
empty
baby
advise
content
sport
lift
literary
curious
tie
flat
message
neck
hate
dirt
delight
trust
nobody
valley
tool
presence
cook
railroad
minister
coffee
brush
beside
collect
guide
luck
profit
lord
everybody
prison
cloud
slave
chairman
soil
distinguish
introduce
urge
blind
arise
upper
curve
membership
key
entertain
soul
neighborhood
friendly
pair
stone
lean
protect
advertise
mystery
welcome
knee
jump
snake
stream
avenue
brown
disease
hat
excellent
formal
snow
sheet
somehow
unity
sky
rough
smooth
weather
steady
threaten
depth
oppose
deliver
ancient
pray
adopt
birth
appearance
universe
busy
hurry
coast
forth
smell
furnish
female
hide
wire
proposal
ought
victory
quarter
engine
customer
waste
fool
intend
intention
desk
politics
passage
lawyer
root
climb
metal
gradual
hunt
protection
satisfy
roof
branch
pleasure
witness
loose
nose
mine
band
aside
risk
tomorrow
remind
ear
fish
shore
operator
civilize
being
silent
screen
bind
earn
pack
colony
besides
slip
cousin
scale
relief
explore
stem
brain
musician
defend
bend
somebody
shadow
mix
smoke
description
fruit
guilt
yield
sensitive
salt
pale
sweep
completion
throat
agriculture
admire
gentle
dozen
particle
pleasant
bay
cup
competition
moon
terrible
strip
mechanic
shock
conversation
angle
tall
plenty
star
yellow
sick
thorough
absolute
succeed
surround
proud
dear
card
lake
breath
afraid
silence
onto
shoe
somewhere
chain
slide
copy
machinery
wake
severe
pocket
bone
honest
freeze
dictionary
calm
swim
ice
male
skin
crack
rush
wet
meat
commerce
joint
gift
host
suspect
path
uncle
afford
instant
satisfactory
height
track
confidence
grass
suggestion
favorite
breakfast
apart
chest
entrance
march
sink
northern
iron
alive
ill
bag
disturb
native
bedroom
violent
beneath
pause
tough
substance
threat
charm
absence
factory
spite
meal
universal
accident
highway
sentence
liberty
wise
noise
discovery
tube
flash
twist
fence
childhood
joy
sister
sad
efficiency
disappear
defeat
extensive
rent
comparison
possess
grace
flesh
liquid
scientist
ease
heaven
milk
sympathy
rank
restaurant
frequency
angry
shade
accuse
necessity
knock
loud
permanent
row
lovely
confuse
gold
frighten
solve
grave
salary
photograph
advice
abroad
wound
virtue
dare
queen
extra
attract
numerous
pink
gate
expensive
shut
chicken
forgive
holy
wooden
prompt
crime
sorry
republic
anger
visitor
pile
violence
steel
wing
stair
partner
delay
gentleman
pour
confusion
damage
kick
safety
burst
network
resistance
screw
pride
till
hire
verb
preach
clerk
everywhere
anyway
fan
connect
egg
efficient
grain
calculate
drag
opposition
worship
arrest
discipline
string
harbor
camera
mechanism
cow
grand
funny
insurance
reduction
strict
lesson
tight
sand
plate
qualify
elsewhere
mad
interference
pupil
fold
royal
valuable
whisper
anybody
hurt
excess
quantity
fun
mud
extension
recognition
kiss
crop
sail
attractive
habit
relieve
wisdom
persuade
certainty
cloth
eager
deserve
sympathetic
cure
trap
puzzle
powder
raw
mankind
glad
blame
whenever
anxiety
bus
tremble
sacred
fortunate
glory
golden
neat
weekend
treasury
overcome
cat
sacrifice
complain
elect
roar
sake
temple
self
compete
nurse
stuff
stomach
peculiar
repair
storm
ton
desert
allowance
servant
hunger
conscience
bread
crash
tip
strengthen
proof
generous
sir
tonight
whip
tongue
mill
merchant
coal
ruin
introduction
courage
actor
belt
stir
package
punish
reflection
breathe
anywhere
amuse
dull
fate
net
fellowship
fault
furniture
beam
pencil
border
disappoint
flame
joke
bless
corn
shell
tempt
supper
destruction
dive
anxious
shine
cheap
dish
distant
greet
flood
excuse
insect
ocean
ceremony
decrease
prize
harm
insure
verse
pot
sincere
cotton
leaf
rub
medicine
stroke
bite
lung
lonely
admission
stupid
scratch
composition
broadcast
drum
resist
neglect
absent
passenger
adventure
beg
pipe
beard
bold
meanwhile
devil
cheer
nut
split
melt
swear
sugar
bury
wipe
faint
creature
tail
wealth
earnest
translate
suspicion
noble
inquiry
journey
hesitate
extraordinary
borrow
owe
funeral
ambition
mixture
slope
criminal
seldom
map
spin
praise
spare
plow
telegraph
barrel
straighten
scarce
lunch
slavery
creep
sweat
gay
stiff
brave
seize
convenient
horizon
moderate
complicate
dig
curse
weigh
priest
excessive
quarrel
widow
modest
dine
politician
custom
educate
salesman
nail
tap
eastern
possession
satisfaction
behave
mercy
scatter
objection
silver
tent
saddle
wrap
nest
grind
spell
plaster
arch
swell
friendship
bath
bundle
grateful
crown
boundary
nowhere
asleep
clock
boil
altogether
lend
holiday
precious
wander
ugly
reputation
ticket
pretend
dismiss
delicate
despair
awake
tea
FALSO
fortune
cap
thread
haste
bare
shirt
bargain
leather
rail
butter
dot
inquire
warmth
decisive
vessel
pity
steam
pin
bound
companion
toe
reward
forbid
wherever
tower
bathe
lodge
swallow
multiply
bow
kingdom
garage
permission
pump
prevention
urgent
aunt
zero
idle
fever
christmas
regret
jaw
soap
pronounce
empire
bowl
outline
organ
imitation
caution
mineral
disagree
blade
trick
treasure
immense
convenience
disapprove
destructive
fork
noon
ownership
tune
polish
poison
shame
loyalty
cottage
astonish
shave
feather
sauce
lid
debt
fade
confess
classification
descend
cape
mild
clever
envelope
invention
sheep
splendid
stamp
float
brick
rice
businessman
backward
qualification
artificial
attraction
lamp
curl
shower
elder
bunch
bell
steer
flavor
spit
rob
cream
interrupt
pen
weave
orange
rescue
crush
humble
fancy
decay
polite
tribe
bleed
coin
fond
autumn
classify
omit
loyal
needle
lessen
complaint
pad
steep
skirt
curtain
calculation
laughter
solemn
grease
interfere
explode
fasten
flag
resign
postpone
patience
boast
rope
envy
airplane
rid
shield
veil
kneel
tray
explosive
brass
taxi
wax
duck
button
invent
remedy
bush
thunder
weaken
poverty
scrape
arrow
tender
cruel
soften
mouse
hay
anyhow
alike
circular
juice
shelf
bake
hatred
cautious
basket
wreck
width
confident
log
heap
suck
ladder
gap
obey
hut
axe
translation
collar
delivery
reproduce
confession
pan
prejudice
voyage
tobacco
simplicity
paste
cake
elephant
ribbon
harvest
ashamed
cave
customary
thief
damp
sew
rust
separation
waiter
pet
straw
upset
towel
refresh
essence
fur
ambitious
defendant
daylight
dip
suspicious
imaginary
ash
carriage
educator
saw
stove
rubber
rug
misery
awkward
rival
roast
deed
preference
explosion
theatrical
cultivate
collector
miserable
wrist
rabbit
accustom
tide
insult
thumb
lump
annoy
toy
heal
shallow
repetition
soup
whistle
scenery
apple
offense
cork
ripe
temper
sore
pinch
diamond
razor
imaginative
hook
copper
landlord
influential
rot
hollow
enclose
harden
wicked
stiffen
silk
upright
selfish
stripe
pig
inward
excellence
rake
purple
hasten
shorten
applause
ache
apology
knot
nephew
